Product_Name,Green_Water_m3_per_ton,Blue_WF,Grey_Water_Footprint,Reported_Unit
Rice,1200,300,100,m3/ton
Wheat,900,150,80,litres/kg
Apple,700,80,40,L/kg
Milk,800,100,50,litres/kg
Chicken,3000,400,900,litres/kg
Coffee,15000,1000,2000,m3/tonne
Potato,200,30,20,litres/kg
Tomato,150,40,25,litres/kg
Chocolate,14000,1000,2100,litres/kg
Banana,600,100,90,l/kg
Beef,13000,550,1900,m3/ton
Pork,4000,450,1500,litres/kg
Eggs,2200,200,900,litres/kg
Cheese,4200,400,1000,litres/kg
Butter,4800,450,300,litres/kg
Bread,1100,200,300,litres/kg
Orange,450,50,60,L/kg
Tea,7500,300,1000,litres/kg
Sugar,1300,200,280,litres/kg
Sugarcane,150,35,25,litres/kg
Almonds,12000,3000,1000,m3/ton
Almond,12000,3000,1000,m3/ton
Pulses,3500,300,250,litres/kg
Soybeans,1800,180,160,m3/ton
Corn,900,100,120,litres/kg
Maize,900,100,120,litres/kg
Cherry,1100,350,150,litres/kg
Chilli,300,50,30,litres/kg
Coconut,2200,250,150,litres/kg
Cucumber,240,60,50,litres/kg
Jowar,2400,200,200,litres/kg
Lemon,500,80,60,litres/kg
Makhana,3000,500,300,litres/kg
Papaya,350,70,40,litres/kg
Pearl_Millet,2100,180,150,litres/kg
Pineapple,200,35,20,litres/kg
Pizza,850,180,200,litres/kg
Hamburger,2000,200,200,litres/kg
French_Fries,800,120,120,litres/kg
Apple_Pie,900,120,80,litres/kg
Chicken_Curry,1800,250,400,litres/kg
  RICE  ,1200,300,100,litres/kg
WHEAT,900,150,80,m3/ton
