item_name,green_wf,blue_wf,grey_wf,unit
almonds,12000.0,3000.0,1000.0,litres/kg
apple,700.0,80.0,40.0,litres/kg
banana,600.0,100.0,90.0,litres/kg
beef,13000.0,550.0,1900.0,litres/kg
bread,1100.0,200.0,300.0,litres/kg
butter,4800.0,450.0,300.0,litres/kg
cheese,4200.0,400.0,1000.0,litres/kg
chicken,3000.0,400.0,900.0,litres/kg
chocolate,14000.0,1000.0,2100.0,litres/kg
coffee,15000.0,1000.0,2000.0,litres/kg
corn,900.0,100.0,120.0,litres/kg
eggs,2200.0,200.0,900.0,litres/kg
milk,800.0,100.0,50.0,litres/kg
orange,450.0,50.0,60.0,litres/kg
pork,4000.0,450.0,1500.0,litres/kg
potato,200.0,30.0,20.0,litres/kg
pulses,3500.0,300.0,250.0,litres/kg
rice,1200.0,300.0,100.0,litres/kg
soybeans,1800.0,180.0,160.0,litres/kg
sugar,1300.0,200.0,280.0,litres/kg
tea,7500.0,300.0,1000.0,litres/kg
tomato,150.0,40.0,25.0,litres/kg
wheat,900.0,150.0,80.0,litres/kg
